Symbol,NSE_Ticker,Traded_As,Series,Date,Prev_Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover_Lacs,No_of_Trades,Delivery_Qty,Delivery_Pct
CDSL,NSE:CDSL,CDSL,EQ,2025-10-16,1622.0,1624.3,1635.0,1615.0,1618.0,1620.3,1625.04,1347594,21898.99,45833,435569.0,32.32
CDSL,NSE:CDSL,CDSL,EQ,2025-10-17,1620.3,1625.4,1641.6,1602.4,1613.0,1611.3,1625.1,2174965,35345.36,53239,540860.0,24.87
CDSL,NSE:CDSL,CDSL,EQ,2025-10-20,1611.3,1620.0,1629.7,1596.9,1602.8,1599.8,1607.74,1232035,19807.87,39950,558968.0,45.37
CDSL,NSE:CDSL,CDSL,EQ,2025-10-21,1599.8,1611.0,1614.9,1600.1,1601.5,1604.0,1605.68,326850,5248.16,18654,184199.0,56.39
CDSL,NSE:CDSL,CDSL,EQ,2025-10-23,1604.0,1608.0,1626.0,1589.0,1601.5,1600.3,1611.69,1347483,21717.2,40653,453369.0,33.65
CDSL,NSE:CDSL,CDSL,EQ,2025-10-24,1600.3,1601.4,1617.2,1581.1,1588.1,1590.2,1598.61,1230930,19677.74,40424,387463.0,31.48
CDSL,NSE:CDSL,CDSL,EQ,2025-10-27,1590.2,1592.0,1641.0,1592.0,1639.0,1636.5,1624.15,2697487,43811.2,65544,1220677.0,45.25
CDSL,NSE:CDSL,CDSL,EQ,2025-10-28,1636.5,1643.4,1651.3,1624.0,1628.0,1632.8,1635.96,1894587,30994.66,47902,684658.0,36.14
CDSL,NSE:CDSL,CDSL,EQ,2025-10-29,1632.8,1625.0,1626.5,1591.0,1616.0,1616.4,1609.83,1844623,29695.21,51299,460393.0,24.96
CDSL,NSE:CDSL,CDSL,EQ,2025-10-30,1616.4,1613.8,1625.0,1607.0,1613.7,1614.7,1615.36,809134,13070.41,29976,273745.0,33.83
CDSL,NSE:CDSL,CDSL,EQ,2025-10-31,1614.7,1614.0,1619.0,1569.1,1591.0,1587.2,1592.17,2101693,33462.55,64800,589323.0,28.04
CDSL,NSE:CDSL,CDSL,EQ,2025-11-03,1587.2,1585.0,1616.5,1577.0,1592.8,1593.4,1597.19,2171717,34686.36,70660,598420.0,27.56
CDSL,NSE:CDSL,CDSL,EQ,2025-11-04,1593.4,1585.1,1589.9,1531.5,1536.9,1539.1,1550.22,3060056,47437.73,97427,1157735.0,37.83
CDSL,NSE:CDSL,CDSL,EQ,2025-11-06,1539.1,1529.9,1538.5,1517.0,1532.0,1532.9,1527.74,1409286,21530.23,59558,526721.0,37.38
