symbol,segment,entry_date,entry,cause_gain,cause_bars,cons_bars,cons_dd,lf_ratio,base_num,undercut10,undercut20,undercut50,prior_narrow,relvol_entry,turn20_cr,adr20,purple_red_10d,shallow,mfe,mae,reached_10,dip_before_10,reached_20,dip_before_20,giveback_after_10,r_2,days_2,hit2_2,r_3,days_3,hit2_3,r_5,days_5,hit2_5,r_8,days_8,hit2_8,breadth,idx_above20,year,undercut_rule_ok,liquid_25cr,fast_adr,lf_expanded,early_base,relvol_confirm,clean_cq
AEGISLOG,smallcap,2022-06-15,214.07063752818476,0.28750017713105147,60,7,0.09455470887045947,0.4277286191130904,2,True,False,True,True,1.4481924482245714,15.2538915864415,4.690234763972794,False,True,0.2910076623438451,-0.12569164594616666,True,-0.12569164594616666,True,-0.12569164594616666,True,-1.0000000000000018,1,False,-0.9999999999999997,1,False,-1.0000000000000004,1,False,-1.0000000000000002,2,False,0.23091976,False,2022,True,False,True,False,True,True,True
AEGISLOG,smallcap,2022-10-19,265.9537507477717,0.448667498564973,59,7,0.08125627939673963,2.9903319292199,4,True,True,True,True,6.367588201238156,12.883114614536668,4.217832077015816,False,True,0.3559500927426458,-0.012256399541711982,True,-0.012256399541711982,True,-0.012256399541711982,False,3.333333333333333,1,True,3.333333333333333,6,True,2.59298944727373,28,True,2.4831253864276897,45,True,0.48062015,True,2022,True,False,True,True,False,True,True
AEGISLOG,smallcap,2023-01-09,334.80976633578734,0.3885445749685761,60,7,0.06293405529993223,1.7319252866423551,5,True,True,False,True,1.7415531970294127,33.52862181654404,5.25267868276428,False,True,0.15806905162300677,-0.047982929254261175,True,-0.047982929254261175,False,-0.047982929254261175,True,2.0566740448105163,7,True,0.6666666666666666,8,True,0.6666666666666666,26,True,1.6164731910882857,60,True,0.44847327,True,2023,True,True,True,True,False,True,True
ARE&M,smallcap,2015-09-01,927.8212502216224,0.38068452285255194,50,5,0.139982467966283,2.4895474035482175,2,True,True,False,True,1.349188456918448,45.72089140685852,5.7123010040824855,False,True,0.028708247725474534,-0.15016178550598347,False,-0.15016178550598347,False,-0.15016178550598347,False,-1.0,0,False,-1.0,0,False,-1.0,0,False,-0.9999999999999997,3,False,0.07865169,False,2015,True,True,True,True,True,True,True
AMBER,smallcap,2021-11-17,3335.949951171875,0.3313105589435581,51,8,0.08696678697186078,2.6547613052854975,3,True,True,True,True,1.242313052534623,22.405527728166504,4.719617665887445,False,True,0.07825358672914784,-0.10820004989735477,False,-0.10820004989735477,False,-0.10820004989735477,False,0.6666666666666666,2,True,-0.9999999999999986,2,False,-1.000000000000001,6,False,-1.0,8,False,0.48447204,True,2021,True,False,True,True,False,True,True
ASAHIINDIA,smallcap,2015-11-04,156.18430650071164,0.5194050070945027,30,7,0.1891127505989023,1.0365051850713958,3,True,True,False,True,1.620665442752582,0.5297001852084351,4.214679866386463,False,True,0.04938280739426171,-0.11697524175483365,False,-0.11697524175483365,False,-0.11697524175483365,False,-1.0,0,False,-1.028801019422477,1,False,-0.9999999999999997,1,False,-1.0000000000000007,2,False,0.37921348,False,2015,True,False,True,False,False,True,True
ASAHIINDIA,smallcap,2025-05-21,750.8657469977499,0.3533285944795992,37,5,0.0740455725442879,2.3799834689729096,5,True,True,False,True,1.271522263040422,25.82168240707672,3.9180533586334576,False,True,0.14887394034972234,-0.08549792394274824,True,-0.08549792394274824,False,-0.08549792394274824,False,-1.0,0,False,-1.0,0,False,-0.9999999999999992,1,False,-0.9999999999999992,24,False,0.8344371,True,2025,True,True,True,True,False,True,True
ATUL,smallcap,2018-01-24,2801.20097308432,0.3225213426074147,58,8,0.10327339131138813,1.0506719110680787,4,True,True,False,True,1.5382304247268586,8.439983923791504,3.5657127179056816,False,True,0.015945217337737017,-0.13041975722259935,False,-0.13041975722259935,False,-0.13041975722259935,False,-1.0,0,False,-0.9999999999999981,2,False,-1.000000000000001,3,False,-1.0,5,False,0.3675,False,2018,True,False,True,False,False,True,True
ATUL,smallcap,2022-01-28,9315.431375170903,0.33006657944436224,36,7,0.16699219121482656,1.2419689510194412,3,True,True,True,True,1.9574811812285609,47.677292621586915,3.662423208460358,False,True,0.1216053969718427,-0.13449394347644694,True,-0.13449394347644694,False,-0.13449394347644694,False,2.0000000000000004,1,True,0.6666666666666666,1,True,-1.0000000000000018,16,False,-0.9999999999999992,19,False,0.26464647,False,2022,True,True,True,False,False,True,True
BEML,smallcap,2023-06-16,747.4415994492185,0.3625884415929834,54,7,0.03445011015581945,1.7488303279952304,2,True,False,False,True,2.3960827132082443,19.756526539940186,2.2164865922351638,False,True,0.4039991807335761,-0.0067751140874463545,True,-0.0067751140874463545,True,-0.0067751140874463545,True,3.333333333333333,3,True,3.333333333333333,3,True,2.005502735675643,5,True,3.333333333333333,36,True,0.84339625,True,2023,True,False,False,True,True,True,True
