Symbol,Signal_Date,Up_Pct,Vol_Ratio,Entry_Price,Signal_Open,Stop_Price,Target_Price,Risk_Pct,Outcome,Exit_Date,Exit_Price,Return_Pct,Hold_Days,Same_Bar_Both
LLOYDSENT,2026-04-20,3.8461538461538325,0.7378399494407472,65.88,64.02,62.099399999999996,75.76199999999999,-5.73861566484517,TARGET,2026-05-27,75.76199999999999,14.999999999999991,26,False
LLOYDSENT,2026-07-09,4.556287676994253,0.6408175749773991,74.58,71.68,69.5296,85.767,-6.771788683293101,OPEN,2026-08-21,77.59,4.035934566908028,31,False
MARKSANS,2025-12-01,3.6711891460494916,1.356401275324919,194.85,188.1,182.457,224.0775,-6.360277136258663,SL,2025-12-08,182.457,-6.360277136258663,5,False
MARKSANS,2026-03-10,3.3364996437900807,0.5522163488118859,174.06,170.0,164.9,200.16899999999998,-5.262553142594506,SL,2026-03-16,164.9,-5.262553142594506,4,False
MOREPENLAB,2025-09-09,4.338969240171098,,51.22,50.0,48.5,58.90299999999999,-5.310425614994141,SL,2025-09-26,48.5,-5.310425614994141,13,False
MOREPENLAB,2025-09-10,4.783287778211642,,53.67,51.7,50.149,61.720499999999994,-6.560462083100427,SL,2025-09-25,50.149,-6.560462083100427,11,False
MOREPENLAB,2026-04-27,3.7152444870565793,0.8621678743293839,43.27,42.1,40.837,49.7605,-5.622833371851166,SL,2026-05-18,40.837,-5.622833371851166,14,False
MOREPENLAB,2026-05-06,3.6913550845439236,1.3210051059838381,43.54,42.2,40.934000000000005,50.071,-5.985300872760668,SL,2026-05-18,40.934000000000005,-5.985300872760668,8,False
MOREPENLAB,2026-07-09,3.3921302578018953,0.8762739151944572,60.96,59.31,57.5307,70.104,-5.625492125984244,SL,2026-07-21,57.5307,-5.625492125984244,8,False
MSTCLTD,2026-01-28,3.751645458534436,1.0016075466511445,472.9,457.5,443.775,543.8349999999999,-6.15880735884965,SL,2026-02-02,443.775,-6.15880735884965,4,False
MSTCLTD,2026-04-27,3.1725888324872997,0.5962452126090594,447.15,436.8,423.696,514.2225,-5.24521972492451,SL,2026-05-12,423.696,-5.24521972492451,10,False
NRBBEARING,2026-01-07,3.4381320095605794,1.2608665715034608,281.3,272.0,263.84,323.495,-6.20689655172415,SL,2026-01-12,263.84,-6.20689655172415,3,False
NRBBEARING,2026-01-22,3.1633311814073473,1.2498766403882462,239.7,233.9,226.883,275.655,-5.3471005423445845,TARGET,2026-02-05,275.655,14.999999999999991,10,False
ONIDA,2026-02-01,4.642618570474277,0.5719392965867446,31.33,30.2,29.293999999999997,36.0295,-6.498563676986924,TARGET,2026-02-10,36.29,15.831471433131195,7,False
ONIDA,2026-03-25,3.4249471458773773,0.8100766064183419,24.46,23.75,23.037499999999998,28.128999999999998,-5.815617334423562,TARGET,2026-03-30,28.128999999999998,14.999999999999991,2,False
ONIDA,2026-05-25,4.979674796747968,0.21975687373922753,41.32,39.5,38.315,47.517999999999994,-7.2725072604065915,SL,2026-06-08,38.0,-8.03484995159729,9,False
RAIN,2026-02-25,4.412368313038706,0.7121980296363619,152.63,146.6,142.202,175.5245,-6.83220860905458,SL,2026-03-02,141.94,-7.003865557229904,3,False
RAIN,2026-03-25,4.556286340672955,1.0603527952742007,109.69,106.1,102.91699999999999,126.14349999999999,-6.174674081502429,TARGET,2026-04-13,126.14349999999999,14.999999999999991,10,False
RATNAVEER,2025-10-23,3.3773959021810906,1.8790046674798997,156.41,152.09,147.5273,179.87149999999997,-5.679112588709156,SL,2025-11-04,147.5273,-5.679112588709156,8,False
RATNAVEER,2025-12-22,4.341027084506166,3.4666985718648604,166.81,162.1,157.237,191.83149999999998,-5.738864576464242,SL,2025-12-24,157.237,-5.738864576464242,2,False
REDINGTON,2026-06-09,4.687636141848928,1.7451468082786636,240.3,230.58,223.6626,276.34499999999997,-6.923595505617985,TARGET,2026-06-19,276.34499999999997,14.999999999999991,8,False
RPTECH,2026-03-25,4.340905802344097,1.7171563582226497,360.55,348.0,337.56,414.6325,-6.376369435584528,SL,2026-03-30,337.56,-6.376369435584528,2,False
RPTECH,2026-08-17,4.532102391942927,0.48896975130720444,871.85,840.0,814.8,1002.6274999999999,-6.543556804496198,OPEN,2026-08-21,876.9,0.5792280782244585,4,False
SAMMAANCAP,2025-12-12,3.503427265803505,0.9617109822399424,149.49,145.5,141.135,171.9135,-5.5890026088701745,SL,2025-12-18,141.135,-5.5890026088701745,4,False
SAMMAANCAP,2026-07-10,3.3720424765571577,0.48339215605764074,166.46,163.0,158.10999999999999,191.429,-5.016220112940061,SL,2026-07-23,158.10999999999999,-5.016220112940061,9,False
SANDHAR,2026-01-22,3.289473684210531,0.39804619061267954,525.95,512.05,496.6884999999999,604.8425,-5.563551668409572,SL,2026-01-23,496.6884999999999,-5.563551668409572,1,False
SAREGAMA,2026-01-28,3.3007903300790398,0.28970362098960384,333.3,323.65,313.9405,383.29499999999996,-5.808430843084311,SL,2026-03-09,312.15,-6.345634563456359,28,False
SAREGAMA,2026-04-10,3.894056440170268,1.948369943045932,329.5,318.9,309.33299999999997,378.92499999999995,-6.120485584218526,TARGET,2026-05-14,378.92499999999995,14.999999999999991,22,False
SHILCTECH,2026-07-09,4.859901106663522,1.480414237633564,4453.4,4250.0,4122.5,5121.409999999999,-7.430277989850442,SL,2026-07-22,4122.5,-7.430277989850442,9,False
SKIPPER,2026-05-13,3.554638229560836,1.0451134997467715,451.55,436.95,423.8415,519.2825,-6.13630827150925,TARGET,2026-05-27,519.2825,15.000000000000014,10,False
SKYGOLD,2026-05-19,3.5823256865182618,0.48592400459833923,458.3,443.0,429.71,527.045,-6.238271874318135,TARGET,2026-05-29,527.045,14.999999999999991,7,False
SKYGOLD,2026-06-12,3.7086092715231667,0.31281152278244023,508.95,495.95,481.07149999999996,585.2924999999999,-5.477650063856965,TARGET,2026-07-03,585.2924999999999,14.999999999999991,14,False
SUZLON,2026-01-28,4.3896047171871455,1.1576026744618717,47.8,46.01,44.6297,54.96999999999999,-6.632426778242673,SL,2026-02-20,44.6297,-6.632426778242673,18,False
VARROC,2026-05-25,3.541240323872219,1.1833717093526597,581.85,565.0,548.05,669.1274999999999,-5.809057317177979,TARGET,2026-07-03,669.1274999999999,14.999999999999991,27,False
VARROC,2026-07-09,3.557126030624258,1.2658898315679352,659.4,641.75,622.4975,758.31,-5.596375492872319,TARGET,2026-08-07,758.31,14.999999999999991,21,False
VINCOFE,2025-12-12,3.5783668609387753,0.5320530865917854,165.28,160.16,155.3552,190.07199999999997,-6.004840271055178,SL,2025-12-22,155.3552,-6.004840271055178,6,False
VINCOFE,2026-03-10,4.167312161115411,1.0675348743268,134.48,129.5,125.615,154.652,-6.592058298631764,SL,2026-03-12,125.615,-6.592058298631764,2,False
